Solution Label,Type,Element,Soln Conc
Blk (1/1000),Samp,Al 308.215,-0.0179117
Blk (1/1000),Samp,As 193.696,0.0184587
Blk (1/1000),Samp,Ba 455.403,0.000225735
Blk (1/1000),Samp,Cd 226.502,0.00424844
Blk (1/1000),Samp,Co 228.615,0.000385673
Blk (1/1000),Samp,Cr 267.716,-0.00384727
Blk (1/1000),Samp,Cu 324.754,-0.00328397
Blk (1/1000),Samp,K 766.491,0.00800013
Blk (1/1000),Samp,Mn 257.610,-0.000336891
Blk (1/1000),Samp,Mo 202.032,0.00234935
Blk (1/1000),Samp,Ni 231.604,-0.0126348
Blk (1/1000),Samp,Pb 220.353,0.0146275
Blk (1/1000),Samp,Se 196.026,0.0703594
Blk (1/1000),Samp,Sr 407.771,0.000121145
Blk (1/1000),Samp,Zn 213.857,-0.000641831
1 (1/1000),Samp,Al 308.215,-0.00622756
1 (1/1000),Samp,As 193.696,0.00212719
1 (1/1000),Samp,Ba 455.403,-2.48E-05
1 (1/1000),Samp,Cd 226.502,0.00153891
1 (1/1000),Samp,Co 228.615,0.0117525
1 (1/1000),Samp,Cr 267.716,-0.00562589
1 (1/1000),Samp,Cu 324.754,-0.00098434
1 (1/1000),Samp,K 766.491,0.0126997
1 (1/1000),Samp,Mn 257.610,9.07E-06
1 (1/1000),Samp,Mo 202.032,0.00435948
1 (1/1000),Samp,Ni 231.604,-0.0199404
1 (1/1000),Samp,Pb 220.353,0.0106433
1 (1/1000),Samp,Se 196.026,0.0114847
1 (1/1000),Samp,Sr 407.771,5.27E-05
1 (1/1000),Samp,Zn 213.857,0.00137665
2 (1/1000),Samp,Al 308.215,-0.000850111
2 (1/1000),Samp,As 193.696,-0.000937319
2 (1/1000),Samp,Ba 455.403,3.60E-05
2 (1/1000),Samp,Cd 226.502,-0.00100311
2 (1/1000),Samp,Co 228.615,-0.00712782
2 (1/1000),Samp,Cr 267.716,-0.000266029
2 (1/1000),Samp,Cu 324.754,-0.000637887
